IDs		T_Count
I1		8
I2		13
I3		14
I4		9
I5		12
I6		8
I7		8
I8		10
I9		9
I10		9
I11		10
I12		12
I13		9
I14		12
I15		11
I16		11
I17		11
I18		9
I19		11
I20		12
I1 I2 		6
I1 I3 		6
I1 I4 		6
I1 I5 		7
I1 I6 		6
I1 I8 		5
I1 I9 		6
I1 I11 		7
I1 I12 		6
I1 I14 		7
I1 I15 		7
I1 I16 		6
I1 I17 		6
I1 I18 		5
I1 I20 		7
I2 I3 		12
I2 I4 		9
I2 I5 		10
I2 I6 		7
I2 I7 		6
I2 I8 		8
I2 I9 		7
I2 I10 		8
I2 I11 		7
I2 I12 		9
I2 I13 		7
I2 I14 		9
I2 I15 		8
I2 I16 		8
I2 I17 		9
I2 I18 		7
I2 I19 		9
I2 I20 		9
I3 I4 		8
I3 I5 		10
I3 I6 		7
I3 I7 		7
I3 I8 		7
I3 I9 		8
I3 I10 		8
I3 I11 		7
I3 I12 		11
I3 I13 		8
I3 I14 		9
I3 I15 		8
I3 I16 		10
I3 I17 		9
I3 I18 		9
I3 I19 		9
I3 I20 		9
I4 I5 		7
I4 I6 		6
I4 I7 		6
I4 I8 		7
I4 I9 		7
I4 I10 		7
I4 I11 		6
I4 I12 		7
I4 I13 		6
I4 I14 		8
I4 I15 		8
I4 I16 		6
I4 I17 		7
I4 I18 		6
I4 I19 		7
I4 I20 		8
I5 I6 		7
I5 I8 		8
I5 I9 		7
I5 I10 		6
I5 I11 		7
I5 I12 		10
I5 I13 		5
I5 I14 		9
I5 I15 		7
I5 I16 		7
I5 I17 		8
I5 I18 		7
I5 I19 		7
I5 I20 		10
I6 I7 		5
I6 I8 		5
I6 I9 		5
I6 I10 		5
I6 I11 		6
I6 I12 		6
I6 I13 		5
I6 I14 		7
I6 I15 		7
I6 I16 		6
I6 I17 		6
I6 I18 		5
I6 I19 		5
I6 I20 		6
I7 I9 		5
I7 I10 		5
I7 I11 		6
I7 I12 		6
I7 I13 		6
I7 I14 		7
I7 I15 		7
I7 I16 		6
I7 I17 		6
I7 I18 		5
I7 I19 		5
I7 I20 		5
I8 I9 		5
I8 I10 		5
I8 I11 		5
I8 I12 		8
I8 I13 		5
I8 I14 		8
I8 I15 		8
I8 I16 		6
I8 I17 		7
I8 I19 		6
I8 I20 		8
I9 I10 		6
I9 I11 		6
I9 I12 		7
I9 I13 		5
I9 I14 		8
I9 I15 		7
I9 I16 		7
I9 I17 		7
I9 I18 		8
I9 I19 		7
I9 I20 		7
I10 I12 		7
I10 I13 		6
I10 I14 		6
I10 I15 		6
I10 I16 		6
I10 I17 		7
I10 I18 		7
I10 I19 		7
I10 I20 		7
I11 I12 		6
I11 I14 		8
I11 I15 		7
I11 I16 		7
I11 I17 		6
I11 I18 		5
I11 I20 		7
I12 I13 		7
I12 I14 		9
I12 I15 		8
I12 I16 		9
I12 I17 		9
I12 I18 		8
I12 I19 		7
I12 I20 		10
I13 I14 		6
I13 I15 		7
I13 I16 		6
I13 I17 		7
I13 I18 		6
I13 I19 		8
I13 I20 		7
I14 I15 		9
I14 I16 		8
I14 I17 		9
I14 I18 		7
I14 I19 		7
I14 I20 		8
I15 I16 		8
I15 I17 		9
I15 I18 		6
I15 I19 		7
I15 I20 		8
I16 I17 		9
I16 I18 		7
I16 I19 		6
I16 I20 		7
I17 I18 		7
I17 I19 		8
I17 I20 		8
I18 I19 		7
I18 I20 		7
I19 I20 		8
I1 I2 I3 		5
I1 I2 I4 		6
I1 I2 I5 		5
I1 I2 I6 		5
I1 I2 I9 		5
I1 I2 I11 		5
I1 I2 I14 		6
I1 I2 I15 		6
I1 I2 I17 		5
I1 I2 I20 		5
I1 I3 I4 		5
I1 I3 I5 		5
I1 I3 I6 		5
I1 I3 I9 		5
I1 I3 I11 		5
I1 I3 I12 		5
I1 I3 I14 		5
I1 I3 I15 		5
I1 I3 I16 		5
I1 I3 I18 		5
I1 I3 I20 		5
I1 I4 I5 		5
I1 I4 I6 		5
I1 I4 I9 		5
I1 I4 I11 		5
I1 I4 I14 		6
I1 I4 I15 		6
I1 I4 I17 		5
I1 I4 I20 		5
I1 I5 I6 		5
I1 I5 I8 		5
I1 I5 I9 		5
I1 I5 I11 		6
I1 I5 I12 		6
I1 I5 I14 		6
I1 I5 I15 		6
I1 I5 I16 		5
I1 I5 I17 		5
I1 I5 I20 		7
I1 I6 I11 		5
I1 I6 I12 		5
I1 I6 I14 		6
I1 I6 I15 		6
I1 I6 I16 		5
I1 I6 I17 		5
I1 I6 I20 		5
I1 I8 I14 		5
I1 I8 I15 		5
I1 I8 I20 		5
I1 I9 I11 		5
I1 I9 I14 		5
I1 I9 I15 		5
I1 I9 I16 		5
I1 I9 I17 		5
I1 I9 I18 		5
I1 I9 I20 		5
I1 I11 I12 		5
I1 I11 I14 		6
I1 I11 I15 		6
I1 I11 I16 		5
I1 I11 I17 		5
I1 I11 I20 		6
I1 I12 I14 		5
I1 I12 I15 		5
I1 I12 I16 		5
I1 I12 I20 		6
I1 I14 I15 		7
I1 I14 I16 		5
I1 I14 I17 		6
I1 I14 I20 		6
I1 I15 I16 		5
I1 I15 I17 		6
I1 I15 I20 		6
I1 I16 I17 		5
I1 I16 I18 		5
I1 I16 I20 		5
I1 I17 I20 		5
I2 I3 I4 		8
I2 I3 I5 		9
I2 I3 I6 		7
I2 I3 I7 		6
I2 I3 I8 		7
I2 I3 I9 		6
I2 I3 I10 		8
I2 I3 I11 		6
I2 I3 I12 		9
I2 I3 I13 		7
I2 I3 I14 		8
I2 I3 I15 		7
I2 I3 I16 		8
I2 I3 I17 		8
I2 I3 I18 		7
I2 I3 I19 		8
I2 I3 I20 		8
I2 I4 I5 		7
I2 I4 I6 		6
I2 I4 I7 		6
I2 I4 I8 		7
I2 I4 I9 		7
I2 I4 I10 		7
I2 I4 I11 		6
I2 I4 I12 		7
I2 I4 I13 		6
I2 I4 I14 		8
I2 I4 I15 		8
I2 I4 I16 		6
I2 I4 I17 		7
I2 I4 I18 		6
I2 I4 I19 		7
I2 I4 I20 		8
I2 I5 I6 		6
I2 I5 I8 		7
I2 I5 I9 		6
I2 I5 I10 		6
I2 I5 I11 		5
I2 I5 I12 		8
I2 I5 I13 		5
I2 I5 I14 		8
I2 I5 I15 		6
I2 I5 I16 		5
I2 I5 I17 		7
I2 I5 I18 		6
I2 I5 I19 		7
I2 I5 I20 		8
I2 I6 I7 		5
I2 I6 I9 		5
I2 I6 I10 		5
I2 I6 I11 		5
I2 I6 I12 		5
I2 I6 I13 		5
I2 I6 I14 		6
I2 I6 I15 		6
I2 I6 I16 		5
I2 I6 I17 		5
I2 I6 I18 		5
I2 I6 I19 		5
I2 I6 I20 		5
I2 I7 I10 		5
I2 I7 I11 		5
I2 I7 I12 		5
I2 I7 I13 		5
I2 I7 I14 		5
I2 I7 I15 		6
I2 I7 I16 		5
I2 I7 I17 		5
I2 I7 I20 		5
I2 I8 I9 		5
I2 I8 I10 		5
I2 I8 I12 		7
I2 I8 I13 		5
I2 I8 I14 		7
I2 I8 I15 		6
I2 I8 I16 		5
I2 I8 I17 		6
I2 I8 I19 		6
I2 I8 I20 		7
I2 I9 I10 		6
I2 I9 I11 		5
I2 I9 I12 		5
I2 I9 I14 		7
I2 I9 I15 		6
I2 I9 I16 		5
I2 I9 I17 		6
I2 I9 I18 		6
I2 I9 I19 		6
I2 I9 I20 		6
I2 I10 I12 		7
I2 I10 I13 		6
I2 I10 I14 		6
I2 I10 I15 		6
I2 I10 I16 		6
I2 I10 I17 		7
I2 I10 I18 		7
I2 I10 I19 		7
I2 I10 I20 		7
I2 I11 I14 		6
I2 I11 I15 		6
I2 I11 I16 		5
I2 I11 I17 		5
I2 I11 I20 		5
I2 I12 I13 		6
I2 I12 I14 		7
I2 I12 I15 		6
I2 I12 I16 		6
I2 I12 I17 		7
I2 I12 I18 		6
I2 I12 I19 		6
I2 I12 I20 		8
I2 I13 I14 		5
I2 I13 I15 		6
I2 I13 I16 		5
I2 I13 I17 		6
I2 I13 I18 		5
I2 I13 I19 		6
I2 I13 I20 		6
I2 I14 I15 		7
I2 I14 I16 		6
I2 I14 I17 		7
I2 I14 I18 		6
I2 I14 I19 		6
I2 I14 I20 		7
I2 I15 I16 		6
I2 I15 I17 		7
I2 I15 I18 		5
I2 I15 I19 		6
I2 I15 I20 		7
I2 I16 I17 		7
I2 I16 I18 		5
I2 I16 I19 		5
I2 I16 I20 		5
I2 I17 I18 		6
I2 I17 I19 		7
I2 I17 I20 		7
I2 I18 I19 		6
I2 I18 I20 		6
I2 I19 I20 		7
I3 I4 I5 		6
I3 I4 I6 		6
I3 I4 I7 		6
I3 I4 I8 		6
I3 I4 I9 		6
I3 I4 I10 		7
I3 I4 I11 		5
I3 I4 I12 		7
I3 I4 I13 		6
I3 I4 I14 		7
I3 I4 I15 		7
I3 I4 I16 		6
I3 I4 I17 		6
I3 I4 I18 		6
I3 I4 I19 		6
I3 I4 I20 		7
I3 I5 I6 		6
I3 I5 I8 		6
I3 I5 I9 		6
I3 I5 I10 		6
I3 I5 I11 		5
I3 I5 I12 		9
I3 I5 I13 		5
I3 I5 I14 		7
I3 I5 I15 		5
I3 I5 I16 		6
I3 I5 I17 		6
I3 I5 I18 		7
I3 I5 I19 		6
I3 I5 I20 		8
I3 I6 I7 		5
I3 I6 I9 		5
I3 I6 I10 		5
I3 I6 I11 		5
I3 I6 I12 		5
I3 I6 I13 		5
I3 I6 I14 		6
I3 I6 I15 		6
I3 I6 I16 		5
I3 I6 I17 		5
I3 I6 I18 		5
I3 I6 I19 		5
I3 I6 I20 		5
I3 I7 I9 		5
I3 I7 I10 		5
I3 I7 I11 		5
I3 I7 I12 		6
I3 I7 I13 		6
I3 I7 I14 		6
I3 I7 I15 		7
I3 I7 I16 		6
I3 I7 I17 		6
I3 I7 I18 		5
I3 I7 I19 		5
I3 I7 I20 		5
I3 I8 I10 		5
I3 I8 I12 		7
I3 I8 I13 		5
I3 I8 I14 		6
I3 I8 I15 		5
I3 I8 I16 		5
I3 I8 I17 		5
I3 I8 I19 		5
I3 I8 I20 		6
I3 I9 I10 		6
I3 I9 I11 		5
I3 I9 I12 		7
I3 I9 I13 		5
I3 I9 I14 		7
I3 I9 I15 		6
I3 I9 I16 		7
I3 I9 I17 		6
I3 I9 I18 		8
I3 I9 I19 		6
I3 I9 I20 		6
I3 I10 I12 		7
I3 I10 I13 		6
I3 I10 I14 		6
I3 I10 I15 		6
I3 I10 I16 		6
I3 I10 I17 		7
I3 I10 I18 		7
I3 I10 I19 		7
I3 I10 I20 		7
I3 I11 I12 		5
I3 I11 I14 		5
I3 I11 I15 		5
I3 I11 I16 		6
I3 I11 I18 		5
I3 I11 I20 		5
I3 I12 I13 		7
I3 I12 I14 		8
I3 I12 I15 		7
I3 I12 I16 		8
I3 I12 I17 		8
I3 I12 I18 		8
I3 I12 I19 		7
I3 I12 I20 		9
I3 I13 I14 		6
I3 I13 I15 		7
I3 I13 I16 		6
I3 I13 I17 		7
I3 I13 I18 		6
I3 I13 I19 		7
I3 I13 I20 		6
I3 I14 I15 		7
I3 I14 I16 		7
I3 I14 I17 		7
I3 I14 I18 		7
I3 I14 I19 		6
I3 I14 I20 		6
I3 I15 I16 		7
I3 I15 I17 		7
I3 I15 I18 		6
I3 I15 I19 		6
I3 I15 I20 		6
I3 I16 I17 		8
I3 I16 I18 		7
I3 I16 I19 		6
I3 I16 I20 		6
I3 I17 I18 		7
I3 I17 I19 		7
I3 I17 I20 		6
I3 I18 I19 		7
I3 I18 I20 		7
I3 I19 I20 		6
I4 I5 I6 		5
I4 I5 I8 		6
I4 I5 I9 		6
I4 I5 I10 		5
I4 I5 I11 		5
I4 I5 I12 		6
I4 I5 I14 		7
I4 I5 I15 		6
I4 I5 I17 		5
I4 I5 I18 		5
I4 I5 I19 		5
I4 I5 I20 		7
I4 I6 I7 		5
I4 I6 I9 		5
I4 I6 I10 		5
I4 I6 I11 		5
I4 I6 I12 		5
I4 I6 I13 		5
I4 I6 I14 		6
I4 I6 I15 		6
I4 I6 I16 		5
I4 I6 I17 		5
I4 I6 I18 		5
I4 I6 I20 		5
I4 I7 I10 		5
I4 I7 I11 		5
I4 I7 I12 		5
I4 I7 I13 		5
I4 I7 I14 		5
I4 I7 I15 		6
I4 I7 I16 		5
I4 I7 I17 		5
I4 I7 I20 		5
I4 I8 I9 		5
I4 I8 I10 		5
I4 I8 I12 		6
I4 I8 I13 		5
I4 I8 I14 		6
I4 I8 I15 		6
I4 I8 I17 		5
I4 I8 I19 		6
I4 I8 I20 		7
I4 I9 I10 		6
I4 I9 I11 		5
I4 I9 I12 		5
I4 I9 I14 		7
I4 I9 I15 		6
I4 I9 I16 		5
I4 I9 I17 		6
I4 I9 I18 		6
I4 I9 I19 		6
I4 I9 I20 		6
I4 I10 I12 		6
I4 I10 I13 		5
I4 I10 I14 		6
I4 I10 I15 		6
I4 I10 I16 		6
I4 I10 I17 		6
I4 I10 I18 		6
I4 I10 I19 		6
I4 I10 I20 		6
I4 I11 I14 		6
I4 I11 I15 		6
I4 I11 I17 		5
I4 I11 I20 		5
I4 I12 I13 		5
I4 I12 I14 		6
I4 I12 I15 		6
I4 I12 I16 		5
I4 I12 I17 		5
I4 I12 I18 		5
I4 I12 I19 		5
I4 I12 I20 		7
I4 I13 I14 		5
I4 I13 I15 		6
I4 I13 I16 		5
I4 I13 I17 		5
I4 I13 I19 		5
I4 I13 I20 		5
I4 I14 I15 		7
I4 I14 I16 		5
I4 I14 I17 		6
I4 I14 I18 		6
I4 I14 I19 		6
I4 I14 I20 		7
I4 I15 I16 		6
I4 I15 I17 		7
I4 I15 I18 		5
I4 I15 I19 		6
I4 I15 I20 		7
I4 I16 I17 		6
I4 I16 I18 		5
I4 I16 I19 		5
I4 I16 I20 		5
I4 I17 I18 		5
I4 I17 I19 		6
I4 I17 I20 		6
I4 I18 I19 		5
I4 I18 I20 		5
I4 I19 I20 		6
I5 I6 I8 		5
I5 I6 I11 		5
I5 I6 I12 		6
I5 I6 I14 		6
I5 I6 I15 		6
I5 I6 I16 		5
I5 I6 I17 		5
I5 I6 I20 		6
I5 I8 I9 		5
I5 I8 I11 		5
I5 I8 I12 		7
I5 I8 I14 		8
I5 I8 I15 		6
I5 I8 I16 		5
I5 I8 I17 		6
I5 I8 I19 		5
I5 I8 I20 		7
I5 I9 I10 		5
I5 I9 I11 		5
I5 I9 I12 		6
I5 I9 I14 		6
I5 I9 I15 		5
I5 I9 I16 		5
I5 I9 I17 		5
I5 I9 I18 		6
I5 I9 I19 		5
I5 I9 I20 		7
I5 I10 I12 		6
I5 I10 I14 		5
I5 I10 I17 		5
I5 I10 I18 		6
I5 I10 I19 		5
I5 I10 I20 		6
I5 I11 I12 		6
I5 I11 I14 		6
I5 I11 I15 		6
I5 I11 I16 		5
I5 I11 I17 		5
I5 I11 I20 		7
I5 I12 I13 		5
I5 I12 I14 		8
I5 I12 I15 		6
I5 I12 I16 		7
I5 I12 I17 		7
I5 I12 I18 		7
I5 I12 I19 		5
I5 I12 I20 		9
I5 I13 I20 		5
I5 I14 I15 		7
I5 I14 I16 		6
I5 I14 I17 		7
I5 I14 I18 		5
I5 I14 I19 		5
I5 I14 I20 		8
I5 I15 I16 		5
I5 I15 I17 		6
I5 I15 I20 		7
I5 I16 I17 		6
I5 I16 I18 		5
I5 I16 I20 		6
I5 I17 I18 		5
I5 I17 I19 		5
I5 I17 I20 		7
I5 I18 I19 		5
I5 I18 I20 		7
I5 I19 I20 		6
I6 I7 I11 		5
I6 I7 I14 		5
I6 I7 I15 		5
I6 I8 I12 		5
I6 I8 I14 		5
I6 I8 I15 		5
I6 I8 I20 		5
I6 I9 I10 		5
I6 I9 I14 		5
I6 I9 I15 		5
I6 I9 I16 		5
I6 I9 I17 		5
I6 I9 I18 		5
I6 I10 I14 		5
I6 I10 I15 		5
I6 I10 I16 		5
I6 I10 I17 		5
I6 I10 I18 		5
I6 I11 I12 		5
I6 I11 I14 		6
I6 I11 I15 		6
I6 I11 I16 		5
I6 I11 I17 		5
I6 I11 I20 		5
I6 I12 I14 		6
I6 I12 I15 		6
I6 I12 I16 		5
I6 I12 I17 		5
I6 I12 I20 		6
I6 I13 I14 		5
I6 I13 I15 		5
I6 I14 I15 		7
I6 I14 I16 		6
I6 I14 I17 		6
I6 I14 I18 		5
I6 I14 I20 		6
I6 I15 I16 		6
I6 I15 I17 		6
I6 I15 I18 		5
I6 I15 I20 		6
I6 I16 I17 		6
I6 I16 I18 		5
I6 I16 I20 		5
I6 I17 I18 		5
I6 I17 I20 		5
I7 I9 I14 		5
I7 I9 I15 		5
I7 I9 I16 		5
I7 I9 I17 		5
I7 I9 I18 		5
I7 I10 I15 		5
I7 I10 I16 		5
I7 I10 I17 		5
I7 I11 I14 		6
I7 I11 I15 		5
I7 I12 I13 		5
I7 I12 I14 		5
I7 I12 I15 		6
I7 I12 I16 		5
I7 I12 I17 		5
I7 I12 I20 		5
I7 I13 I14 		5
I7 I13 I15 		6
I7 I13 I16 		5
I7 I13 I17 		5
I7 I13 I19 		5
I7 I14 I15 		6
I7 I14 I16 		5
I7 I14 I17 		5
I7 I14 I18 		5
I7 I15 I16 		6
I7 I15 I17 		6
I7 I15 I18 		5
I7 I15 I19 		5
I7 I15 I20 		5
I7 I16 I17 		6
I7 I16 I18 		5
I7 I16 I19 		5
I7 I17 I18 		5
I7 I17 I19 		5
I8 I9 I14 		5
I8 I9 I19 		5
I8 I9 I20 		5
I8 I10 I12 		5
I8 I10 I19 		5
I8 I10 I20 		5
I8 I11 I14 		5
I8 I11 I15 		5
I8 I11 I20 		5
I8 I12 I13 		5
I8 I12 I14 		7
I8 I12 I15 		6
I8 I12 I16 		6
I8 I12 I17 		6
I8 I12 I19 		5
I8 I12 I20 		7
I8 I13 I15 		5
I8 I13 I20 		5
I8 I14 I15 		6
I8 I14 I16 		5
I8 I14 I17 		6
I8 I14 I19 		5
I8 I14 I20 		7
I8 I15 I16 		5
I8 I15 I17 		6
I8 I15 I19 		5
I8 I15 I20 		7
I8 I16 I17 		6
I8 I16 I20 		5
I8 I17 I19 		5
I8 I17 I20 		6
I8 I19 I20 		6
I9 I10 I12 		5
I9 I10 I14 		6
I9 I10 I15 		5
I9 I10 I16 		5
I9 I10 I17 		5
I9 I10 I18 		6
I9 I10 I19 		5
I9 I10 I20 		5
I9 I11 I14 		5
I9 I11 I15 		5
I9 I11 I16 		5
I9 I11 I17 		5
I9 I11 I18 		5
I9 I11 I20 		5
I9 I12 I14 		6
I9 I12 I15 		5
I9 I12 I16 		6
I9 I12 I17 		5
I9 I12 I18 		7
I9 I12 I19 		5
I9 I12 I20 		6
I9 I13 I14 		5
I9 I13 I15 		5
I9 I13 I16 		5
I9 I13 I17 		5
I9 I13 I18 		5
I9 I13 I19 		5
I9 I14 I15 		7
